group_id,department,q_type,sub_team1,sub_team2
SWOC1,Service Assurance & TV Engr_Voice Ops,Non GSP,Non GSP,Non GSP
SWOCE1,Service Assurance & TV Engr_Voice Ops,Non GSP,Non GSP,Non GSP
SWPL1,Service Assurance & TV Engr_Voice Ops,Non GSP,Non GSP,Non GSP
SWPLE1,Service Assurance & TV Engr_Voice Ops,Non GSP,Non GSP,Non GSP
SWTP1,Service Assurance & TV Engr_Voice Ops,Non GSP,Non GSP,Non GSP
CGS_CS,Submarine,Non GSP,Non GSP,Non GSP
KTBUGFS,Submarine,Non GSP,Non GSP,Non GSP
KTS_CS,Submarine,Non GSP,Non GSP,Non GSP
TSS_CS,Submarine,Non GSP,Non GSP,Non GSP
2FTTH,System Q,Non GSP,Non GSP,Non GSP
2FTTHMAN,System Q,Non GSP,Non GSP,Non GSP
ASH,System Q,Non GSP,Non GSP,Non GSP
BATCH_DCI,System Q,Non GSP,Non GSP,Non GSP
FRMS_FULL,System Q,Non GSP,Non GSP,Non GSP
FRMS_HALF,System Q,Non GSP,Non GSP,Non GSP
FTTH_GSPIP,System Q,Non GSP,Non GSP,Non GSP
FTTH_HOLD,System Q,Non GSP,Non GSP,Non GSP
FTTHCHK,System Q,Non GSP,Non GSP,Non GSP
GSDT5,System Q,Non GSP,Non GSP,Non GSP
HDM_BATCH,System Q,Non GSP,Non GSP,Non GSP
HDMDDNS,System Q,Non GSP,Non GSP,Non GSP
HDMV,System Q,Non GSP,Non GSP,Non GSP
HOLD_E_DLC,System Q,Non GSP,Non GSP,Non GSP
HOLD_F_DLC,System Q,Non GSP,Non GSP,Non GSP
HOLD_FTTH,System Q,Non GSP,Non GSP,Non GSP
HOLDING_Q,System Q,Non GSP,Non GSP,Non GSP
MIG,System Q,Non GSP,Non GSP,Non GSP
SNAT,System Q,Non GSP,Transient,Transient
SSYHOLD,System Q,Non GSP,Non GSP,Non GSP
WFM,System Q,Non GSP,Non GSP,Non GSP
WFMAPT,System Q,Non GSP,Non GSP,Non GSP
AE_NAS,Transient,Non GSP,Non GSP,Non GSP
AIS,Transient,Non GSP,Non GSP,Non GSP
ANE,Transient,Non GSP,Non GSP,Non GSP
ANE1,Transient,Non GSP,Non GSP,Non GSP
ANE2,Transient,Non GSP,Non GSP,Non GSP
ARTM,Transient,Non GSP,Non GSP,Non GSP
AXIOM,Transient,Non GSP,Non GSP,Non GSP
BAANO,Transient,Non GSP,Non GSP,Non GSP
BAMUX,Transient,Non GSP,Non GSP,Non GSP
BBCEA,Transient,Non GSP,Non GSP,Non GSP
BBCEA1,Transient,Non GSP,Non GSP,Non GSP
BBJE,Transient,Non GSP,Non GSP,Non GSP
BBPA,Transient,Non GSP,Non GSP,Non GSP
BDBUGFS,Transient,Non GSP,Non GSP,Non GSP
BNOSLG,Transient,Non GSP,Non GSP,Non GSP
BOD_MCE,Transient,Non GSP,Non GSP,Non GSP
BPBUGFS,Transient,Non GSP,Non GSP,Non GSP
BPTM,Transient,Non GSP,Non GSP,Non GSP
BSDA,Transient,Non GSP,Non GSP,Non GSP
BSTOT_SG,Transient,Non GSP,Non GSP,Non GSP
BTBUGFS,Transient,Non GSP,Non GSP,Non GSP
BTOPS,Transient,Non GSP,Non GSP,Non GSP
CGBUGFS,Transient,Non GSP,Non GSP,Non GSP
CGTM,Transient,Non GSP,Non GSP,Non GSP
CHG,Transient,Non GSP,Non GSP,Non GSP
CMS,Transient,Non GSP,Non GSP,Non GSP
CNO_SVY,Transient,Non GSP,Non GSP,Non GSP
COMMSOPS,Transient,Non GSP,Non GSP,Non GSP
CSBUGFS,Transient,Non GSP,Non GSP,Non GSP
CTBUGFS,Transient,Non GSP,Non GSP,Non GSP
CYBUGFS,Transient,Non GSP,Non GSP,Non GSP
CYTM,Transient,Non GSP,Non GSP,Non GSP
DANE,Transient,Non GSP,Non GSP,Non GSP
DCADP,Transient,Non GSP,Non GSP,Non GSP
DKADP,Transient,Non GSP,Non GSP,Non GSP
DWFMMAN,Transient,Non GSP,Non GSP,Non GSP
EMAIL,Transient,Non GSP,Non GSP,Non GSP
ESBUGFS,Transient,Non GSP,Non GSP,Non GSP
FDCW,Transient,Non GSP,Non GSP,Non GSP
FDSL,Transient,Non GSP,Non GSP,Non GSP
FOB_UP,Transient,Non GSP,Non GSP,Non GSP
FTP,Transient,Non GSP,Non GSP,Non GSP
GACY,Transient,Non GSP,Non GSP,Non GSP
GADDP,Transient,Non GSP,Non GSP,Non GSP
GADLP,Transient,Non GSP,Non GSP,Non GSP
GLBUGFS,Transient,Non GSP,Non GSP,Non GSP
HGBUGFS,Transient,Non GSP,Non GSP,Non GSP
HMSVC,Transient,Non GSP,Non GSP,Non GSP
HW_CBLPL,Transient,Non GSP,Non GSP,Non GSP
ICT,Transient,Non GSP,Non GSP,Non GSP
ICTERM,Transient,Non GSP,Non GSP,Non GSP
INF,Transient,Non GSP,Non GSP,Non GSP
IPCOPS,Transient,Non GSP,Non GSP,Non GSP
IPN_HOLD,Transient,Non GSP,Non GSP,Non GSP
IPSVC,Transient,Non GSP,Non GSP,Non GSP
IPTV,Transient,Non GSP,Non GSP,Non GSP
IPTVCHK,Transient,Non GSP,Non GSP,Non GSP
IPTVMAN,Transient,Non GSP,Non GSP,Non GSP
IPTVSTB,Transient,Non GSP,Non GSP,Non GSP
JEBUGFS,Transient,Non GSP,Non GSP,Non GSP
JRBUGFS,Transient,Non GSP,Non GSP,Non GSP
JRTM,Transient,Non GSP,Non GSP,Non GSP
JWBUGFS,Transient,Non GSP,Non GSP,Non GSP
JWTM,Transient,Non GSP,Non GSP,Non GSP
KTTM,Transient,Non GSP,Non GSP,Non GSP
M-CNP,Transient,Non GSP,Non GSP,Non GSP
MHS_HK,Transient,Non GSP,Non GSP,Non GSP
MHS_JP,Transient,Non GSP,Non GSP,Non GSP
MHS_MA,Transient,Non GSP,Non GSP,Non GSP
MHS_TW,Transient,Non GSP,Non GSP,Non GSP
MHSCOM,Transient,Non GSP,Non GSP,Non GSP
MHSDCW,Transient,Non GSP,Non GSP,Non GSP
MHSDCW_B,Transient,Non GSP,Non GSP,Non GSP
MHSKC,Transient,Non GSP,Non GSP,Non GSP
MHS-KC1,Transient,Non GSP,Non GSP,Non GSP
MHSKC2,Transient,Non GSP,Non GSP,Non GSP
MHS-KC2,Transient,Non GSP,Non GSP,Non GSP
MHSPOC,Transient,Non GSP,Non GSP,Non GSP
MNP_CAN,Transient,Non GSP,Non GSP,Non GSP
MNP_IN,Transient,Non GSP,Non GSP,Non GSP
MNP_INP2P,Transient,Non GSP,Non GSP,Non GSP
MNP_IS,Transient,Non GSP,Non GSP,Non GSP
MNP_P2P,Transient,Non GSP,Non GSP,Non GSP
MNP_USER,Transient,Non GSP,Non GSP,Non GSP
M-OPS,Transient,Non GSP,Non GSP,Non GSP
MSA,Transient,Non GSP,Non GSP,Non GSP
MTS,Transient,Non GSP,Non GSP,Non GSP
MVC,Transient,Non GSP,Non GSP,Non GSP
MW,Transient,Non GSP,Non GSP,Non GSP
NBBD,Transient,Non GSP,Non GSP,Non GSP
NBIS,Transient,Non GSP,Non GSP,Non GSP
NBJE,Transient,Non GSP,Non GSP,Non GSP
NBOC,Transient,Non GSP,Non GSP,Non GSP
NBQT,Transient,Non GSP,Non GSP,Non GSP
NBTP,Transient,Non GSP,Non GSP,Non GSP
NBTS,Transient,Non GSP,Non GSP,Non GSP
NGNCSIM,Transient,Non GSP,Non GSP,Non GSP
NMS,Transient,Non GSP,Non GSP,Non GSP
NSI (IP),Transient,Non GSP,Non GSP,Non GSP
NSI (PS),Transient,Non GSP,Non GSP,Non GSP
NTBUGFS,Transient,Non GSP,Non GSP,Non GSP
OCBUGFS,Transient,Non GSP,Non GSP,Non GSP
OCTM,Transient,Non GSP,Non GSP,Non GSP
OMADMIN,Transient,Non GSP,Non GSP,Non GSP
ON_MON,Transient,Non GSP,Non GSP,Non GSP
P_VLANLLC,Transient,Non GSP,Non GSP,Non GSP
PLBUGFS,Transient,Non GSP,Non GSP,Non GSP
PNOCC,Transient,Non GSP,Non GSP,Non GSP
PNOCC-FM,Transient,Non GSP,Non GSP,Non GSP
PRBUGFS,Transient,Non GSP,Non GSP,Non GSP
QTBUGFS,Transient,Non GSP,Non GSP,Non GSP
RC,Transient,Non GSP,Non GSP,Non GSP
RCONF,Transient,Non GSP,Non GSP,Non GSP
RCU,Transient,Non GSP,Non GSP,Non GSP
RSE2,Transient,Non GSP,Non GSP,Non GSP
RSE4,Transient,Non GSP,Non GSP,Non GSP
RSE5,Transient,Non GSP,Non GSP,Non GSP
RVOM,Transient,Non GSP,Non GSP,Non GSP
SAASV,Transient,Non GSP,Non GSP,Non GSP
SAPL,Transient,Non GSP,Non GSP,Non GSP
SBBUGFS,Transient,Non GSP,Non GSP,Non GSP
SE_GWL,Transient,Non GSP,Non GSP,Non GSP
SGMDP,Transient,Non GSP,Non GSP,Non GSP
SGRC,Transient,Non GSP,Non GSP,Non GSP
SGTD,Transient,Non GSP,Non GSP,Non GSP
SLMD,Transient,Non GSP,Non GSP,Non GSP
SLMDMAN,Transient,Non GSP,Non GSP,Non GSP
SRU,Transient,Non GSP,Non GSP,Non GSP
STM_MSS,Transient,Non GSP,Non GSP,Non GSP
SWAME1,Transient,Non GSP,Non GSP,Non GSP
SWBDE1,Transient,Non GSP,Non GSP,Non GSP
SWCY1,Transient,Non GSP,Non GSP,Non GSP
SWES1,Transient,Non GSP,Non GSP,Non GSP
SWGLE1,Transient,Non GSP,Non GSP,Non GSP
SYSACT,Transient,Non GSP,Non GSP,Non GSP
SYSBATCH,Transient,Non GSP,Non GSP,Non GSP
SYSBILLING,Transient,Non GSP,Non GSP,Non GSP
SYSDWFM,Transient,Non GSP,Non GSP,Non GSP
SYSFNP,Transient,Non GSP,Non GSP,Non GSP
SYSSDP,Transient,Non GSP,Non GSP,Non GSP
TBBUGFS,Transient,Non GSP,Non GSP,Non GSP
TBTM,Transient,Non GSP,Non GSP,Non GSP
TPBUGFS,Transient,Non GSP,Non GSP,Non GSP
TPTM,Transient,Non GSP,Non GSP,Non GSP
TSBUGFS,Transient,Non GSP,Non GSP,Non GSP
TSD,Transient,Non GSP,Non GSP,Non GSP
TSMNT,Transient,Non GSP,Non GSP,Non GSP
TSMNTCP,Transient,Non GSP,Non GSP,Non GSP
TSTM,Transient,Non GSP,Non GSP,Non GSP
VIDEO,Transient,Non GSP,Non GSP,Non GSP
VOIP,Transient,Non GSP,Non GSP,Non GSP
WEBTV,Transient,Non GSP,Non GSP,Non GSP
WLBUGFS,Transient,Non GSP,Non GSP,Non GSP
XC_SNG,Transient,Non GSP,Non GSP,Non GSP
XC_TP,Transient,Non GSP,Non GSP,Non GSP
YCBUGFS,Transient,Non GSP,Non GSP,Non GSP
ZDT,Transient,Non GSP,Non GSP,Non GSP
